"","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","videoId","textDisplay","textOriginal","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"1","Logan Bala","https://yt3.ggpht.com/a/AGF-l7_PW4t5oGbXapTemVeoi5d9dYJUHtV8nCT_Eg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCSbR4g1aTmPej3cKqp3oajQ","UCSbR4g1aTmPej3cKqp3oajQ","bsWWHo4KDHE","Thanks","Thanks","TRUE","none","0","2019-11-03T12:01:51.000Z","2019-11-03T12:01:51.000Z","UgwAe5-QPkH6besjQtp4AaABAg",NA,NA
"2","cabbage guy","https://yt3.ggpht.com/a/AGF-l79Iul0Tw-v6LcLMyef9MFfl-SMByGEhjldb_Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC4qEkHbx36jgT1TSVOOOEQQ","UC4qEkHbx36jgT1TSVOOOEQQ","bsWWHo4KDHE","feminine function, i see what you did there","feminine function, i see what you did there","TRUE","none","0","2019-10-07T15:18:21.000Z","2019-10-07T15:18:21.000Z","Ugy_CLDD9xMNHpKxCQt4AaABAg",NA,NA
"3","Andrei Madroane","https://yt3.ggpht.com/a/AGF-l7-Ni0Pw-GGrVTPdgefmPeqlh3cxOYznSM4kuA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCId1LaacntifczkzabN_jNQ","UCId1LaacntifczkzabN_jNQ","bsWWHo4KDHE","Thx","Thx","TRUE","none","0","2019-10-02T12:31:08.000Z","2019-10-02T12:31:08.000Z","UgxKQBPQwSqWe5-kp114AaABAg",NA,NA
"4","Java chips","https://yt3.ggpht.com/a/AGF-l785OR2wl-eZm72miBJZmB7-lwCNjBaWiVIGmQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCT9nVNtNPimb6klL60N0gFw","UCT9nVNtNPimb6klL60N0gFw","bsWWHo4KDHE","<U+2800>","<U+2800>","TRUE","none","0","2019-09-30T00:08:14.000Z","2019-09-30T00:08:14.000Z","UgyctiIJrwfpjZ0dnwF4AaABAg",NA,NA
"5","PANKAJ Sharma","https://yt3.ggpht.com/a/AGF-l78zobHnb_HZkOwGm6IBH1yz7d3QUuT8jZY6HQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCAJ1eYt0E42lKqwRH6o8KqA","UCAJ1eYt0E42lKqwRH6o8KqA","bsWWHo4KDHE","but in the second tutorial you said that main function is the starting function of any program. so now why are you putting it after another function.","but in the second tutorial you said that main function is the starting function of any program. so now why are you putting it after another function.","TRUE","none","0","2019-09-20T13:50:45.000Z","2019-09-20T13:50:45.000Z","UgxX52paMacq0ISDUNF4AaABAg",NA,NA
"6","skad dkas","https://yt3.ggpht.com/a/AGF-l784endeeyp5IB1CyUVf-z7k28CwF_Dz_opj-A=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCJD-SpcuXnZjBpwCRccIlLA","UCJD-SpcuXnZjBpwCRccIlLA","bsWWHo4KDHE","Wish I had a teacher like you","Wish I had a teacher like you","TRUE","none","0","2019-07-23T13:27:30.000Z","2019-07-23T13:27:30.000Z","UgxbvHQkDS0fov2N-Wt4AaABAg",NA,NA
"7","TechWeby","https://yt3.ggpht.com/a/AGF-l79PyzOUUmoa-rOw4UHU22Te5pyxfe8SX0EIqw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UChq1SEY-V2qJMZwLFsL-How","UChq1SEY-V2qJMZwLFsL-How","bsWWHo4KDHE","learn C++ in urdu<br /><a href=""https://youtu.be/lh1FXkvxSf4"">https://youtu.be/lh1FXkvxSf4</a>","learn C++ in urdu
https://youtu.be/lh1FXkvxSf4","TRUE","none","0","2019-07-10T12:56:37.000Z","2019-07-10T12:56:37.000Z","UgyMUQ6XkVF058JcdeV4AaABAg",NA,NA
"8","no channel","https://yt3.ggpht.com/a/AGF-l79fFvMZqO2ud9pi0ahwU_BDGuGGJR0eZP-PyA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCGmoxT05VvHbMH1MbgclNSw","UCGmoxT05VvHbMH1MbgclNSw","bsWWHo4KDHE","<a href=""https://www.youtube.com/watch?v=bsWWHo4KDHE&amp;t=3m40s"">3:40</a> owo I&#39;m text on screen","3:40 owo I'm text on screen","TRUE","none","0","2019-06-24T17:21:02.000Z","2019-06-24T17:21:02.000Z","Ugz6EL8l4KXUAU8cRLh4AaABAg",NA,NA
"9","General relativity","https://yt3.ggpht.com/a/AGF-l78zlF3YDJRK3dCnzKzRUPZXHMbfG3INVHlsyg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC0WEzdhB2cgdyZ8FSZoms0A","UC0WEzdhB2cgdyZ8FSZoms0A","bsWWHo4KDHE","If you use int in a situation where you dont return with a number, do you get a compiler error?","If you use int in a situation where you dont return with a number, do you get a compiler error?","TRUE","none","1","2019-06-22T15:56:10.000Z","2019-06-22T15:56:10.000Z","Ugxq91zPUbAcAkYzvdl4AaABAg",NA,NA
"10","Rohit Jha","https://yt3.ggpht.com/a/AGF-l78dhR_6rRXNyAvj_iOuvCXFHRb9v3ecjG37=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCcsFA1Eno-_fcCUlE6x9wng","UCcsFA1Eno-_fcCUlE6x9wng","bsWWHo4KDHE","Really You Teaches Well I am from India .","Really You Teaches Well I am from India .","TRUE","none","3","2019-06-17T00:41:43.000Z","2019-06-17T00:41:43.000Z","Ugyddq_cTL9NIw9UOj14AaABAg",NA,NA
"11","Roberto Shialer","https://yt3.ggpht.com/a/AGF-l78DDz14d5mNJSaGQIO_UYjHHjBPR_kJfK7cGA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCS30q-MkOiKag36wA7BGzSQ","UCS30q-MkOiKag36wA7BGzSQ","bsWWHo4KDHE","I love you bro! oooooo i&#39;m text on the screen :)","I love you bro! oooooo i'm text on the screen :)","TRUE","none","0","2019-06-11T14:10:09.000Z","2019-06-11T14:10:09.000Z","Ugx0rq4v8mlaMYShuZp4AaABAg",NA,NA
"12","Ali West","https://yt3.ggpht.com/a/AGF-l79eu1ACUvITOG1N6KULfK0q_XmCmxxJldkGSQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCtDhPrUoifdYF9O9voifkJw","UCtDhPrUoifdYF9O9voifkJw","bsWWHo4KDHE","Compiler : I&#39;ve never seen this n word in my life .","Compiler : I've never seen this n word in my life .","TRUE","none","1","2019-06-08T17:29:26.000Z","2019-06-08T17:29:26.000Z","UgxqK1Fd4yVgJwb926V4AaABAg",NA,NA
"13","Padhai Karna","https://yt3.ggpht.com/a/AGF-l79pzFFtI8Z2v5bm8UIFW55fxO8wE5IWR-Ml5g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCcv-cP6WTAnann3QJJu0Wcw","UCcv-cP6WTAnann3QJJu0Wcw","bsWWHo4KDHE","GOD","GOD","TRUE","none","0","2019-06-06T08:49:10.000Z","2019-06-06T08:49:10.000Z","UgxAmo3g_BLX6Go4u3d4AaABAg",NA,NA
"14","Mobashar Malik","https://yt3.ggpht.com/a/AGF-l7_1aN9BpQCHKoleFGpaTNR_St2-rlcXY0uX3A=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC2yfFB2NYBhT3y6JVm62iIA","UC2yfFB2NYBhT3y6JVm62iIA","bsWWHo4KDHE","why do we use void","why do we use void","TRUE","none","0","2019-06-02T20:06:25.000Z","2019-06-02T20:06:25.000Z","Ugxp9PIoDBdhFIFn7Ox4AaABAg",NA,NA
"15","The last time I took a shower was","https://yt3.ggpht.com/a/AGF-l7-RUyU9kkh4ojn9NhnJSomSFU0jEfxx5JxpFA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UChAJP8pnAVKM_UVJqD9uf0g","UChAJP8pnAVKM_UVJqD9uf0g","bsWWHo4KDHE","you explain better than the $10 course which i bought on udemy.","you explain better than the $10 course which i bought on udemy.","TRUE","none","0","2019-05-24T12:48:17.000Z","2019-05-24T12:48:17.000Z","UgxWTMVuJZyBqkAIAIR4AaABAg",NA,NA
"16","Sidra Salah","https://yt3.ggpht.com/a/AGF-l7-2vW8iqJBy_tqmWAnoiwkXBkLUP_-SKdeMXA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCkcj4X6aMG6xtg-e7ZQPAbA","UCkcj4X6aMG6xtg-e7ZQPAbA","bsWWHo4KDHE","I love your tutorials <U+0001F60D> but some of them i can&#39;t see anything, the writings are so small<U+0001F61F><U+0001F97A><U+0001F62D><U+0001F62D> this one&#39;s good","I love your tutorials <U+0001F60D> but some of them i can't see anything, the writings are so small<U+0001F61F><U+0001F97A><U+0001F62D><U+0001F62D> this one's good","TRUE","none","0","2019-05-23T19:23:07.000Z","2019-05-23T19:23:07.000Z","UgxywGJ3jrFMkSqalN14AaABAg",NA,NA
"17","Dan T","https://yt3.ggpht.com/a/AGF-l79izIyUaChfsqXLfgmHEmk14uQV0S8GVN3tjA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCbUoaM4fno2YWiJ6RN0ZxCw","UCbUoaM4fno2YWiJ6RN0ZxCw","bsWWHo4KDHE","Who will win? 200k/year paid CS professors and 150,000 dollar college tuition or a free video by Bucky on C++?<br /><br /><br />Leave it to programmers and programming professors to lack any semblance of communication ability that they couldn&#39;t teach to a fish water is wet. What a waste of my money to spend on tuition. Bucky supreme!","Who will win? 200k/year paid CS professors and 150,000 dollar college tuition or a free video by Bucky on C++?


Leave it to programmers and programming professors to lack any semblance of communication ability that they couldn't teach to a fish water is wet. What a waste of my money to spend on tuition. Bucky supreme!","TRUE","none","0","2019-05-01T04:22:19.000Z","2019-05-01T04:22:19.000Z","UgyTaR9oWNUl3zPpkBl4AaABAg",NA,NA
"18","Danny Vista","https://yt3.ggpht.com/a/AGF-l78rSfs5TNlvN4MrQILWXOky9xIQ2VnJa7Pm9Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC6Vnusy2eTu6Bd7vo3bspug","UC6Vnusy2eTu6Bd7vo3bspug","bsWWHo4KDHE","a life saver","a life saver","TRUE","none","0","2019-04-23T12:07:28.000Z","2019-04-23T12:07:28.000Z","Ugwt9Nsxm8w-c_YBDBN4AaABAg",NA,NA
"19","Freshly Coded","https://yt3.ggpht.com/a/AGF-l78E93MXKh3UeaIor5369so1lLwnJZ7iMsKt3A=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCPSHgTbK9-t_-49SnRJPL8Q","UCPSHgTbK9-t_-49SnRJPL8Q","bsWWHo4KDHE","the second way is not working for me in Xcode... anyone else?","the second way is not working for me in Xcode... anyone else?","TRUE","none","0","2019-04-12T22:58:18.000Z","2019-04-12T22:58:18.000Z","UgzBVOFfOxnrHtCjd0d4AaABAg",NA,NA
"20","Tom Joad","https://yt3.ggpht.com/a/AGF-l79ebUMD-5utwTetHkIcwCTfQkO8jIgVZXchNQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCWhLuJ_4Lr0olSHUECDAwuw","UCWhLuJ_4Lr0olSHUECDAwuw","bsWWHo4KDHE","<a href=""https://www.youtube.com/watch?v=bsWWHo4KDHE&amp;t=2m36s"">2:36</a> Those aren&#39;t curly braces, you moron. Take this down, you&#39;re just confusing humans.","2:36 Those aren't curly braces, you moron. Take this down, you're just confusing humans.","TRUE","none","0","2019-04-12T12:00:56.000Z","2019-04-12T12:00:56.000Z","UgxuwKEFbHeRkJpyTEh4AaABAg",NA,NA
"21","Ben Richards","https://yt3.ggpht.com/a/AGF-l78GMTg3Udk0PWUlfZ49OEPIROqV7sfI325f=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCiH-otxX1O5djzElg0NXv-w","UCiH-otxX1O5djzElg0NXv-w","bsWWHo4KDHE","I&#39;m taking a course called Program Design and Development online at my local community college.  It&#39;s basically just C++.  Both the text and instructor are confusing but these videos have helped me understand more than both of those two combined.  Thank you and keep up the good work.","I'm taking a course called Program Design and Development online at my local community college.  It's basically just C++.  Both the text and instructor are confusing but these videos have helped me understand more than both of those two combined.  Thank you and keep up the good work.","TRUE","none","1","2019-03-29T22:40:50.000Z","2019-03-29T22:40:50.000Z","UgwP_RUDPcnqI0E2ubl4AaABAg",NA,NA
"22","Kimi Reteaz","https://yt3.ggpht.com/a/AGF-l7_0KzUu72q6L1Ay8HQ58yPba4AYAz9mNMBFLw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCStoR1I97Zmsrxy9v2IsU8A","UCStoR1I97Zmsrxy9v2IsU8A","bsWWHo4KDHE","This was very helpful","This was very helpful","TRUE","none","0","2019-03-19T18:31:23.000Z","2019-03-19T18:31:23.000Z","UgxH6BEsxaso2C0IUUF4AaABAg",NA,NA
"23","Noah Jaramillo","https://yt3.ggpht.com/a/AGF-l78PvuMVWj0Yz88UJyPA7jWxhmDg-Ewsdt1VgQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC50i7ifcJ7Su829RIMpesbA","UC50i7ifcJ7Su829RIMpesbA","bsWWHo4KDHE","Was nervous about going back to school for computer science. But thanks to Mr. Bucky i am starting to feel like i at least have a basic understanding to build off of for the beginning of my college education. Couldn&#39;t put a proper value on these videos. They are priceless","Was nervous about going back to school for computer science. But thanks to Mr. Bucky i am starting to feel like i at least have a basic understanding to build off of for the beginning of my college education. Couldn't put a proper value on these videos. They are priceless","TRUE","none","0","2019-03-14T21:20:42.000Z","2019-03-14T21:20:42.000Z","UgysZI4T5T9MRSycSkF4AaABAg",NA,NA
"24","Harnoor","https://yt3.ggpht.com/a/AGF-l795xlCAKC_9xTARiFB78q6WP3nClf0XjANp_w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUPyWGbFgfoh6whDJhzS53g","UCUPyWGbFgfoh6whDJhzS53g","bsWWHo4KDHE","thankyou.","thankyou.","TRUE","none","0","2019-03-13T05:18:04.000Z","2019-03-13T05:18:04.000Z","Ugw4bmXdhsgupQNB2Fp4AaABAg",NA,NA
"25","jackson Addo Majestical","https://yt3.ggpht.com/a/AGF-l78ylrMOPTIf_DXxcmDmUWhSDQZYi8reYHQOXA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCeEFUndfjs0sksRJXXCYWtQ","UCeEFUndfjs0sksRJXXCYWtQ","bsWWHo4KDHE","this is very helpful","this is very helpful","TRUE","none","0","2019-03-12T19:07:22.000Z","2019-03-12T19:07:22.000Z","Ugz-SL10cnA-uG5Tp4V4AaABAg",NA,NA
